Copyright Central Council of Church Bell Ringers, December 2011
Differential Plain Doubles methods

No.	Name	Notation	hl	le	lh	RW ref
17617	Shadwell Differential Place	3456.14.1256.36.12.	3456	12	134265	04/1167
17618	Liverpool Street Differential Bob	3456.14.56.1236-	3456	12	134265	04/1167
17619	Turnpike Lane Differential Place	3456.14.56.1236.12.	3456	12	134265	04/1167
17620	Waterloo Differential Bob	3456.14.56.36-	3456	12	134265	04/1167
17621	Bermondsey Differential Bob	3456.14.56.36.12.	3456	12	134265	04/1166
17622	Harborne Differential Bob	3456.1456-1236-	3456	12	134265	05/108
17623	Moseley St Mary Differential Place	3456.1456-1236.12.	3456	12	134265	05/108
17624	Austrey Differential Bob	3456.1456-36-	3456	12	134265	05/108
17625	Coleshill Differential Bob	3456.1456-36.12.	3456	12	134265	05/108
17626	The Jointstock Differential Bob	3456.1456.12.1236-	3456	12	134265	05/108
17627	Sutton Coldfield Differential Bob	3456.1456.12.36-	3456	12	134265	05/108
17628	Salter Street Differential Place	3456.1456.12.36.12.	3456	12	134265	05/108
17629	Vauxhall Differential Bob	56.14.1256.1236-	3456	12	142365	04/1167
17630	Mornington Crescent Differential Bob	56.14.1256.36-	3456	12	142365	04/1167
17631	Whitechapel Differential Bob	56.14.1256.36.12.	3456	12	142365	04/1167
17632	Farringdon Differential Bob	56.14.56.1236-	3456	12	142365	04/1166
17633	Manor House Differential Bob	56.14.56.1236.12.	3456	12	142365	04/1167
17634	Charing Cross Differential Bob	56.14.56.36-	3456	12	142365	04/1166
17635	Westminster Differential Bob	56.14.56.36.12.	3456	12	142365	04/1167
17636	Handsworth Differential Bob	56.1456-1236-	3456	12	142365	05/108
17637	Moseley St Anne Differential Bob	56.1456-1236.12.	3456	12	142365	05/108
17638	Aston Differential Bob	56.1456-36-	3456	12	142365	05/108
17639	Castle Bromwich Differential Bob	56.1456-36.12.	3456	12	142365	05/108
17640	The Wellington Differential Bob	56.1456.12.1236-	3456	12	142365	05/108
17641	Solihull Differential Bob	56.1456.12.36-	3456	12	142365	05/108
17642	Rowley Regis Differential Bob	56.1456.12.36.12.	3456	12	142365	05/108

Twin-hunt differential Plain Minor methods (b)

No.	Name	Notation	hl	le	lh	RW ref

17643	Rainhill Differential Bob	36.16-16-	16	14	165432	05/308

Twin-hunt differential Surprise Minor methods (b)

No.	Name	Notation	hl	le	lh	RW ref

17644	Balmoral Castle Differential	-34-14-1256-36-14-	56	16	145236	05/286
17645	Loch Gorm Differential	-34-14-1256-36.14-12.	56	16	145236	05/431
17646	Huntly Castle Differential	-34-14-1256-36.14-34.	56	16	145236	05/431
17647	Croagh Patrick Differential	56-36.14-1256-1236-14-	56	14	156423	05/432
17648	Loch Lomond Differential	56-36.14-1256-36.12-14.	56	14	156423	05/431

