Copyright Central Council of Church Bell Ringers, December 2011
Alliance Minor methods (treble dodging in 1-2)

No.	Name	Notation	hl	le	lh	RW ref
16009	Swanscombe	34.16-36.14-34.	56	16	h	
16010	Shere	36.14-1236-12-	56	12	a	93/916
16011	Burpham	36.14-1236-34-	56	12	a	93/916
16012	Isham	36.14-16-12-	36	12	e	
16013	Clapham	36.14-16-14-	56	12	a	
16014	Stapleford	36.14-36-12-	56	12	a	
16015	Malmesbury	36.14-36-14-	16	12	e	
16016	Cottenham	36.14-36-34-	16	12	b	
16017	Rothwell	36.14-36-34-	56	12	a	
16018	Merrow	36.14-36.12-12.	56	12	a	
16019	Clandon	36.14-36.12-34.	56	12	a	
16020	Thornham	36.14-36.14-12.	36	12	b	
16021	Merstham	36.14-36.14-14.	56	12	a	

Alliance Minor methods (treble dodging in 1-2 and 3-4)

No.	Name	Notation	hl	le	lh	RW ref

16022	Foxhill	34-34.16-12-36-	36	12	f	93/1048

Alliance Minor methods (treble dodging in 1-2 and 5-6)

No.	Name	Notation	hl	le	lh	RW ref

16023	Dodd	-34-16-16-34-	16	12	a	77/8
16024	Seafield	-36-14-36-34-	36	12	e	
16025	Amesbury	34-34.16-36-12-	36	12	f	73/796
16026	Andover	34-34.16-36-12-	36	16	l	73/796

Alliance Minor methods (treble dodging in 3-4 and 5-6)

No.	Name	Notation	hl	le	lh	RW ref

16027	Hannington	-14-12-1236-12-	36	12	142563	77/87
16028	Saltwood	-14-12-1236-12-	56	12	f	63/852
16029	Penhill	-14-12-1236-12-	56	16	l	64/585
16030	Burmarsh	-14-12-1236-34-	56	12	f	63/852
16031	Walcot	-14-12-1236-34-	56	16	l	64/585
16032	Apsley End	-14-12-16-12-	36	12	a	
16033	Bassingham	-14-12-16-14-	56	12	f	47/407
16034	Bigby	-14-12-16-14-	56	16	l	47/407
16035	Wrangle	-14-12-36-12-	16	12	e	36/535
16036	Leake	-14-12-36-12-	16	16	h	
16037	Castle Eaton	-14-12-36-12-	36	12	142563	73/796
16038	Butterwick	-14-12-36-12-	56	12	f	36/408
16039	Tattershall	-14-12-36-12-	56	16	l	36/408
16040	Gamston	-14-12-36-14-	16	12	a	
16041	Whaplode	-14-12-36-34-	16	16	m	
16042	Frampton	-14-12-36-34-	56	12	f	36/408
16043	Alford	-14-12-36-34-	56	16	l	36/408
16044	Kempsford	-14-12-36.12-12.	36	12	142563	73/796
16045	Freiston	-14-12-36.12-12.	56	12	f	36/408
16046	Candlesby	-14-12-36.12-12.	56	16	l	36/408
16047	Benington	-14-12-36.12-34.	56	12	f	36/408
16048	Langton	-14-12-36.12-34.	56	16	l	36/408
16049	Silk Willoughby	-14-12-36.14-12.	36	16	m	
16050	Dunholme	-14-12-36.14-14.	56	12	f	47/407
16051	Elsham	-14-12-36.14-14.	56	16	l	47/407
16052	Langford	-14-56-1236-12-	36	12	f	77/87
16053	Chalford	-14-56-1236-12-	56	12	142563	77/87
16054	Avening	-14-56-1236-34-	56	12	142563	77/87
16055	Lechlade	-14-56-36-12-	36	12	f	77/87
16056	Brinkworth	-14-56-36-12-	56	12	142563	77/87
16057	Dauntsey	-14-56-36-34-	56	12	142563	77/87
16058	Filkins	-14-56-36.12-12.	36	12	f	77/87
16059	Minety	-14-56-36.12-12.	56	12	142563	77/87
16060	Kemble	-14-56-36.12-34.	56	12	142563	77/87
16061	Flanshaw	-1456-56-1236-12-	56	16	l	72/443
16062	Yatesbury	-1456-56-1236-34-	56	12	f	77/87
16063	Eastmoor	-1456-56-1236-34-	56	16	l	72/443
16064	Lupset	-1456-56-36-12-	56	16	l	72/443
16065	Wrenthorpe	-1456-56-36-34-	56	16	l	72/443
16066	Bremhill	-1456-56-36.12-12.	56	12	f	77/87
16067	Clappergate	-1456-56-36.12-12.	56	16	l	72/443
16068	Heddington	-1456-56-36.12-34.	56	12	f	77/87
16069	Skelwith Bridge	-1456-56-36.12-34.	56	16	l	72/443
16070	Alderbourne	-16-12-1236-12-	36	12	f	64/585
16071	Witcombe	-16-12-1236-12-	36	16	l	63/852
16072	Monk Fryston	-16-12-1236-12-	56	16	134625	72/443
16073	Green Hammerton	-16-12-1236-34-	56	16	134625	72/443
16074	Normanton	-16-12-16-12-	16	16	m	
16075	Brailes	-16-12-16-12-	56	12	165324	68/387
16076	Croft	-16-12-16-34-	36	12	e	
16077	Algarkirk	-16-12-16-34-	36	16	h	
16078	Staverton	-16-12-16-34-	56	12	165324	68/387
16079	Hanley Castle	-16-12-16.34-12.	36	12	e	
16080	Wickham Skeith	-16-12-16.34-12.	36	16	h	
16081	Honington	-16-12-16.34-12.	56	12	165324	68/387
16082	Felkirk	-16-12-16.34-14.	56	12	b	60/183
16083	Crofton	-16-12-16.34-14.	56	16	g	60/183
