1523102651887147 12 S 7c2a 100 760 100 0 0 0
1523102651887147 12 T 6
1523102651887147 12 B 4.12113
1523102652988989 12 S 7c2a 100 760 100 0 0 0
1523102652988989 12 T 6
1523102652988989 12 B 4.13666
1523102654090648 12 S 7c2a 100 760 100 0 0 0
1523102654090648 12 T 6
1523102654090648 12 B 4.12812
1523102655192354 12 S 7c2a 100 760 100 0 0 0
1523102655192354 12 T 7
1523102655192354 12 B 4.17575
1523102656294363 12 S 7c2a 100 760 100 0 0 0
1523102656294363 12 T 6
1523102656294363 12 B 4.13666
1523102657395990 12 S 7c2a 100 760 100 0 0 0
1523102657395990 12 T 6
1523102657395990 12 B 4.12165
1523102658497742 12 S 7c2a 100 760 100 0 0 0
1523102658497742 12 T 6
1523102658497742 12 B 4.13149
1523102659599402 12 S 7c2a 100 760 100 0 0 0
1523102659599402 12 T 6
1523102659599402 12 B 4.14029
1523102660701088 12 S 7c2a 100 760 100 0 0 0
1523102660701088 12 T 6
1523102660701088 12 B 4.17316
1523102661802768 12 S 7c2a 100 760 100 0 0 0
1523102661802768 12 T 6
1523102661802768 12 B 4.12657
1523102662904384 12 S 7c2a 100 760 100 0 0 0
1523102662904384 12 T 6
1523102662904384 12 B 4.12631
1523102664006050 12 S 7c2a 100 760 100 0 0 0
1523102664006050 12 T 6
1523102664006050 12 B 4.13278
1523102665107687 12 S 7c2a 100 760 100 0 0 0
1523102665107687 12 T 6
1523102665107687 12 B 4.13175
1523102666210254 12 S 7c2a 100 760 100 0 0 0
1523102666210254 12 T 6
1523102666210254 12 B 4.15659
1523102667312210 12 S 7c2a 100 760 100 0 0 0
1523102667312210 12 T 6
1523102667312210 12 B 4.1232
1523102668413898 12 S 7c2a 100 760 100 0 0 0
1523102668413898 12 T 6
1523102668413898 12 B 4.12605
1523102669515526 12 S 7c2a 100 760 100 0 0 0
1523102669515526 12 T 6
1523102669515526 12 B 4.12295
1523102670617425 12 S 7c2a 100 760 100 0 0 0
1523102670617425 12 T 7
1523102670617425 12 B 4.12916
1523102671719315 12 S 7c2a 100 760 100 0 0 0
1523102671719315 12 T 7
1523102671719315 12 B 4.14961
1523102672821253 12 S 7c2a 100 760 100 0 0 0
1523102672821253 12 T 6
1523102672821253 12 B 4.13615
1523102673922981 12 S 7c2a 100 760 100 0 0 0
1523102673922981 12 T 6
1523102673922981 12 B 4.12709
1523102675024616 12 S 7c2a 100 760 100 0 0 0
1523102675024616 12 T 6
1523102675024616 12 B 4.13097
1523102676126404 12 S 7c2a 100 760 100 0 0 0
1523102676126404 12 T 6
1523102676126404 12 B 4.13433
1523102677228475 12 S 7c2a 100 760 100 0 0 0
1523102677228475 12 T 6
1523102677228475 12 B 4.17601
1523102678329984 12 S 7c2a 100 760 100 0 0 0
1523102678329984 12 T 7
1523102678329984 12 B 4.1245
1523102679431876 12 S 7c2a 100 760 100 0 0 0
1523102679431876 12 T 6
1523102679431876 12 B 4.12269
1523102680533620 12 S 7c2a 100 760 100 0 0 0
