0 3.09159 0 -4.34362 -8.83339
0.01 3.09155 -0.00766282 -4.34402 -8.83323
0.02 3.09144 -0.0153374 -4.34521 -8.83276
0.03 3.09125 -0.0230354 -4.3472 -8.83197
0.04 3.09098 -0.0307687 -4.34998 -8.83086
0.05 3.09063 -0.0385491 -4.35358 -8.82943
0.06 3.09021 -0.0463886 -4.35797 -8.82768
0.07 3.0897 -0.054299 -4.36319 -8.82561
0.08 3.08912 -0.0622926 -4.36922 -8.8232
0.09 3.08846 -0.0703816 -4.37609 -8.82046
0.1 3.08771 -0.0785783 -4.3838 -8.81738
0.11 3.08689 -0.0868952 -4.39236 -8.81396
0.12 3.08597 -0.0953452 -4.40178 -8.81018
0.13 3.08498 -0.103941 -4.41208 -8.80605
0.14 3.0839 -0.112696 -4.42327 -8.80155
0.15 3.08272 -0.121624 -4.43537 -8.79668
0.16 3.08146 -0.130737 -4.44839 -8.79142
0.17 3.08011 -0.140051 -4.46236 -8.78576
0.18 3.07866 -0.149579 -4.47729 -8.77971
0.19 3.07712 -0.159336 -4.4932 -8.77323
0.2 3.07547 -0.169336 -4.51012 -8.76633
0.21 3.07373 -0.179596 -4.52807 -8.75898
0.22 3.07188 -0.19013 -4.54707 -8.75118
0.23 3.06993 -0.200955 -4.56715 -8.7429
0.24 3.06786 -0.212088 -4.58835 -8.73414
0.25 3.06568 -0.223544 -4.61068 -8.72487
0.26 3.06339 -0.235342 -4.63417 -8.71508
0.27 3.06097 -0.2475 -4.65887 -8.70474
0.28 3.05844 -0.260037 -4.68481 -8.69384
0.29 3.05577 -0.27297 -4.71201 -8.68236
0.3 3.05298 -0.28632 -4.74052 -8.67026
0.31 3.05004 -0.300108 -4.77037 -8.65753
0.32 3.04697 -0.314354 -4.8016 -8.64414
0.33 3.04376 -0.329079 -4.83426 -8.63007
0.34 3.04039 -0.344306 -4.86838 -8.61527
0.35 3.03687 -0.360059 -4.90402 -8.59973
0.36 3.03319 -0.376361 -4.94121 -8.58341
0.37 3.02934 -0.393236 -4.98001 -8.56627
0.38 3.02532 -0.41071 -5.02046 -8.54828
0.39 3.02112 -0.428809 -5.06261 -8.5294
0.4 3.01674 -0.447562 -5.10652 -8.50959
0.41 3.01217 -0.466994 -5.15223 -8.4888
0.42 3.0074 -0.487137 -5.19981 -8.46699
0.43 3.00242 -0.50802 -5.24931 -8.44412
0.44 2.99724 -0.529674 -5.30079 -8.42012
0.45 2.99183 -0.552132 -5.3543 -8.39495
0.46 2.98619 -0.575427 -5.40991 -8.36855
0.47 2.98032 -0.599593 -5.46768 -8.34086
0.48 2.9742 -0.624666 -5.52767 -8.31182
0.49 2.96782 -0.650684 -5.58994 -8.28135
0.5 2.96118 -0.677684 -5.65456 -8.2494
0.51 2.95426 -0.705706 -5.72159 -8.21587
0.52 2.94706 -0.734791 -5.79109 -8.1807
0.53 2.93956 -0.764981 -5.86314 -8.1438
0.54 2.93176 -0.79632 -5.93779 -8.10509
0.55 2.92363 -0.828853 -6.01511 -8.06446
0.56 2.91518 -0.862626 -6.09516 -8.02182
0.57 2.90638 -0.897688 -6.17801 -7.97708
0.58 2.89722 -0.934088 -6.26372 -7.93011
0.59 2.88769 -0.971878 -6.35233 -7.8808
0.6 2.87778 -1.01111 -6.44392 -7.82904
0.61 2.86746 -1.05184 -6.53853 -7.7747
0.62 2.85673 -1.09412 -6.6362 -7.71764
0.63 2.84557 -1.13801 -6.73699 -7.65771
0.64 2.83397 -1.18357 -6.84093 -7.59478
0.65 2.8219 -1.23085 -6.94804 -7.52868
0.66 2.80934 -1.27993 -7.05836 -7.45926
0.67 2.79629 -1.33087 -7.17189 -7.38634
