0 -3.11032 0 0.546383 -9.8052 0.132142 -1.96018
0.001 -3.11032 0.000605616 0.609554 -9.8052 0.132142 -1.96018
0.002 -3.11032 0.00121124 0.60957 -9.8052 0.132142 -1.96018
0.003 -3.11032 0.00181689 0.609596 -9.8052 0.132142 -1.96018
0.004 -3.11031 0.00242256 0.609633 -9.8052 0.132142 -1.96018
0.005 -3.11031 0.00302827 0.609681 -9.80521 0.132142 -1.96017
0.006 -3.11031 0.00363402 0.609738 -9.80521 0.132142 -1.96017
0.007 -3.1103 0.00423983 0.609807 -9.80521 0.132142 -1.96016
0.008 -3.1103 0.0048457 0.609886 -9.80521 0.132142 -1.96016
0.009 -3.11029 0.00545165 0.609975 -9.80521 0.132142 -1.96015
0.01 -3.11029 0.00605768 0.610075 -9.80521 0.132142 -1.96014
0.011 -3.11028 0.0066638 0.610186 -9.80521 0.132142 -1.96013
0.012 -3.11028 0.00727002 0.610307 -9.80522 0.132142 -1.96013
0.013 -3.11027 0.00787635 0.610438 -9.80522 0.132142 -1.96012
0.014 -3.11026 0.0084828 0.61058 -9.80522 0.132142 -1.96011
0.015 -3.11025 0.00908938 0.610733 -9.80522 0.132142 -1.96009
0.016 -3.11024 0.0096961 0.610896 -9.80523 0.132142 -1.96008
0.017 -3.11023 0.010303 0.61107 -9.80523 0.132142 -1.96007
0.018 -3.11022 0.01091 0.611254 -9.80523 0.132142 -1.96006
0.019 -3.11021 0.0115172 0.611449 -9.80524 0.132142 -1.96004
0.02 -3.1102 0.0121245 0.611654 -9.80524 0.132142 -1.96003
0.021 -3.11019 0.0127321 0.61187 -9.80524 0.132142 -1.96001
0.022 -3.11017 0.0133398 0.612097 -9.80525 0.132142 -1.95999
0.023 -3.11016 0.0139477 0.612334 -9.80525 0.132142 -1.95998
0.024 -3.11014 0.0145559 0.612581 -9.80526 0.132142 -1.95996
0.025 -3.11013 0.0151643 0.612839 -9.80526 0.132142 -1.95994
0.026 -3.11011 0.0157728 0.613108 -9.80526 0.132142 -1.95992
0.027 -3.1101 0.0163817 0.613387 -9.80527 0.132142 -1.9599
0.028 -3.11008 0.0169908 0.613677 -9.80527 0.132142 -1.95988
0.029 -3.11006 0.0176001 0.613978 -9.80528 0.132142 -1.95986
0.03 -3.11005 0.0182097 0.614289 -9.80528 0.132142 -1.95983
0.031 -3.11003 0.0188196 0.614611 -9.80529 0.132142 -1.95981
0.032 -3.11001 0.0194298 0.614943 -9.8053 0.132142 -1.95979
0.033 -3.10999 0.0200402 0.615286 -9.8053 0.132142 -1.95976
0.034 -3.10997 0.020651 0.615639 -9.80531 0.132142 -1.95974
0.035 -3.10995 0.0212621 0.616003 -9.80531 0.132142 -1.95971
0.036 -3.10993 0.0218735 0.616378 -9.80532 0.132142 -1.95968
0.037 -3.1099 0.0224852 0.616763 -9.80533 0.132142 -1.95965
