#t   #theta   #omega   #xddot    #yddot
1.18 0.881811 -7.07869 -9.93858 -3.78481
1.19 0.810444 -7.19344 -9.32959 -3.58828
1.2 0.737967 -7.30059 -8.66253 -3.40191
1.21 0.66446 -7.39946 -7.93955 -3.22749
1.22 0.590008 -7.48941 -7.16358 -3.06678
1.23 0.514703 -7.56983 -6.33837 -2.92146
1.24 0.438645 -7.64015 -5.46844 -2.79311
1.25 0.361936 -7.69987 -4.55907 -2.68317
1.26 0.284684 -7.74857 -3.61617 -2.59291
1.27 0.207002 -7.78587 -2.64629 -2.52337
1.28 0.129006 -7.81149 -1.65642 -2.47541
1.29 0.0508119 -7.82526 -0.653954 -2.44959
1.3 -0.0274596 -7.82704 0.353515 -2.44622
1.31 -0.105689 -7.81685 1.35828 -2.46536
1.32 -0.183757 -7.79475 2.35269 -2.50677
1.33 -0.261545 -7.7609 3.32929 -2.56995
1.34 -0.338937 -7.71558 4.28094 -2.65413
1.35 -0.415819 -7.6591 5.20097 -2.75832
1.36 -0.492083 -7.59189 6.08325 -2.88132
1.37 -0.567623 -7.51443 6.92231 -3.02173
1.38 -0.642339 -7.42727 7.7134 -3.17802
1.39 -0.716138 -7.33099 8.45254 -3.34853
1.4 -0.788931 -7.22623 9.13655 -3.53152
1.41 -0.860636 -7.11368 9.76304 -3.72521
1.42 -0.931181 -6.99402 10.3304 -3.92779
1.43 -1.0005 -6.86795 10.8379 -4.13748
1.44 -1.06852 -6.73621 11.2853 -4.35256
1.45 -1.1352 -6.59949 11.6733 -4.57134
1.46 -1.2005 -6.4585 12.0029 -4.79227
1.47 -1.26436 -6.31393 12.2758 -5.01385
1.48 -1.32677 -6.16644 12.4941 -5.23474
1.49 -1.38768 -6.01666 12.6604 -5.45372
1.5 -1.44709 -5.8652 12.7772 -5.66967
1.51 -1.50498 -5.71262 12.8478 -5.88165
1.52 -1.56134 -5.55947 12.875 -6.08881
1.53 -1.61617 -5.40623 12.8624 -6.29046
1.54 -1.66947 -5.25337 12.813 -6.48599
1.55 -1.72124 -5.1013 12.7302 -6.67495
1.56 -1.7715 -4.95039 12.6172 -6.85698
1.57 -1.82025 -4.80099 12.4771 -7.03179
1.58 -1.86753 -4.65341 12.3129 -7.19923
1.59 -1.91333 -4.50791 12.1276 -7.35919
1.6 -1.95769 -4.36473 11.9239 -7.51163
1.61 -2.00063 -4.22407 11.7044 -7.6566
1.62 -2.04218 -4.08611 11.4714 -7.79418
1.63 -2.08236 -3.95099 11.2273 -7.9245
1.64 -2.12121 -3.81883 10.974 -8.04772
1.65 -2.15875 -3.68973 10.7135 -8.16405
1.66 -2.19502 -3.56377 10.4475 -8.27369
1.67 -2.23004 -3.441 10.1776 -8.37689
1.68 -2.26385 -3.32145 9.90523 -8.47389
1.69 -2.29648 -3.20516 9.63158 -8.56497
1.7 -2.32796 -3.09213 9.35783 -8.65039
1.71 -2.35833 -2.98235 9.08497 -8.73041
1.72 -2.38762 -2.87582 8.81389 -8.8053
1.73 -2.41586 -2.77249 8.54536 -8.87534
1.74 -2.44308 -2.67234 8.28006 -8.94077
1.75 -2.46932 -2.57533 8.01855 -9.00186
1.76 -2.4946 -2.48141 7.76133 -9.05885
1.77 -2.51895 -2.39052 7.50882 -9.11199
1.78 -2.54242 -2.3026 7.26137 -9.1615
1.79 -2.56502 -2.21761 7.01925 -9.20761
1.8 -2.58678 -2.13546 6.78269 -9.25052
1.81 -2.60773 -2.05609 6.55188 -9.29044
1.82 -2.62791 -1.97944 6.32694 -9.32756
1.83 -2.64733 -1.90543 6.10796 -9.36206
1.84 -2.66603 -1.83399 5.895 -9.39412
1.85 -2.68402 -1.76504 5.6881 -9.42389
1.86 -2.70134 -1.69853 5.48724 -9.45154
1.87 -2.718 -1.63437 5.2924 -9.4772
1.88 -2.73403 -1.5725 5.10355 -9.50101
1.89 -2.74946 -1.51284 4.92061 -9.5231
1.9 -2.76429 -1.45532 4.74351 -9.54359
1.91 -2.77857 -1.39987 4.57217 -9.56258
1.92 -2.7923 -1.34643 4.40649 -9.58019
1.93 -2.8055 -1.29493 4.24635 -9.59652
1.94 -2.8182 -1.24531 4.09164 -9.61164
1.95 -2.83042 -1.19749 3.94225 -9.62566
1.96 -2.84216 -1.15142 3.79804 -9.63865
1.97 -2.85345 -1.10704 3.65889 -9.65067
1.98 -2.86431 -1.06429 3.52467 -9.66181
1.99 -2.87474 -1.0231 3.39525 -9.67213
2 -2.88477 -0.983431 3.27049 -9.68168
2.01 -2.89441 -0.945216 3.15027 -9.69053
2.02 -2.90368 -0.908407 3.03444 -9.69872
2.03 -2.91259 -0.872951 2.92289 -9.70629
2.04 -2.92114 -0.838798 2.81547 -9.71331
2.05 -2.92937 -0.8059 2.71207 -9.7198
2.06 -2.93727 -0.774209 2.61256 -9.72581
2.07 -2.94486 -0.743681 2.51681 -9.73137
2.08 -2.95214 -0.714271 2.42471 -9.73652
