#t   #theta   #omega   #xddot    #yddot
1.03 1.7862 -4.90564 -17.0702 -14.1295
1.04 1.7364 -5.05613 -17.235 -14.3993
1.05 1.68508 -5.20789 -17.3601 -14.6797
1.06 1.63224 -5.36056 -17.4411 -14.9702
1.07 1.57786 -5.51374 -17.4736 -15.27
1.08 1.52196 -5.66696 -17.4532 -15.5783
1.09 1.46453 -5.81976 -17.3755 -15.8943
1.1 1.40557 -5.97162 -17.2361 -16.2166
1.11 1.3451 -6.12196 -17.0309 -16.5438
1.12 1.28314 -6.2702 -16.7561 -16.8745
1.13 1.2197 -6.41571 -16.4081 -17.2068
1.14 1.15483 -6.55784 -15.984 -17.5387
1.15 1.08856 -6.6959 -15.4813 -17.8681
1.16 1.02093 -6.82921 -14.8983 -18.1926
1.17 0.951995 -6.95704 -14.2339 -18.5098
1.18 0.881811 -7.07869 -13.4881 -18.8171
1.19 0.810444 -7.19344 -12.6616 -19.1119
1.2 0.737967 -7.30059 -11.7563 -19.3915
1.21 0.66446 -7.39946 -10.7751 -19.6531
1.22 0.590008 -7.48941 -9.722 -19.8942
1.23 0.514703 -7.56983 -8.60207 -20.1122
1.24 0.438645 -7.64015 -7.42146 -20.3047
1.25 0.361936 -7.69987 -6.1873 -20.4696
1.26 0.284684 -7.74857 -4.90766 -20.605
1.27 0.207002 -7.78587 -3.59139 -20.7093
1.28 0.129006 -7.81149 -2.248 -20.7812
1.29 0.0508119 -7.82526 -0.887508 -20.82
1.3 -0.0274596 -7.82704 0.47977 -20.825
1.31 -0.105689 -7.81685 1.84338 -20.7963
1.32 -0.183757 -7.79475 3.19294 -20.7342
1.33 -0.261545 -7.7609 4.51832 -20.6394
1.34 -0.338937 -7.71558 5.80985 -20.5132
1.35 -0.415819 -7.6591 7.05846 -20.3569
1.36 -0.492083 -7.59189 8.25584 -20.1724
1.37 -0.567623 -7.51443 9.39457 -19.9617
1.38 -0.642339 -7.42727 10.4682 -19.7273
1.39 -0.716138 -7.33099 11.4713 -19.4715
1.4 -0.788931 -7.22623 12.3996 -19.1971
1.41 -0.860636 -7.11368 13.2498 -18.9065
1.42 -0.931181 -6.99402 14.0199 -18.6027
1.43 -1.0005 -6.86795 14.7086 -18.2881
1.44 -1.06852 -6.73621 15.3158 -17.9655
1.45 -1.1352 -6.59949 15.8423 -17.6373
1.46 -1.2005 -6.4585 16.2896 -17.306
1.47 -1.26436 -6.31393 16.66 -16.9736
1.48 -1.32677 -6.16644 16.9563 -16.6422
1.49 -1.38768 -6.01666 17.1819 -16.3138
1.5 -1.44709 -5.8652 17.3405 -15.9898
1.51 -1.50498 -5.71262 17.4362 -15.6719
1.52 -1.56134 -5.55947 17.4733 -15.3611
1.53 -1.61617 -5.40623 17.4561 -15.0587
1.54 -1.66947 -5.25337 17.3891 -14.7654
1.55 -1.72124 -5.1013 17.2767 -14.4819
1.56 -1.7715 -4.95039 17.1233 -14.2089
1.57 -1.82025 -4.80099 16.9332 -13.9467
1.58 -1.86753 -4.65341 16.7104 -13.6955
1.59 -1.91333 -4.50791 16.4589 -13.4556
1.6 -1.95769 -4.36473 16.1825 -13.2269
1.61 -2.00063 -4.22407 15.8845 -13.0094
1.62 -2.04218 -4.08611 15.5683 -12.8031
1.63 -2.08236 -3.95099 15.237 -12.6076
1.64 -2.12121 -3.81883 14.8933 -12.4228
1.65 -2.15875 -3.68973 14.5398 -12.2483
1.66 -2.19502 -3.56377 14.1788 -12.0838
1.67 -2.23004 -3.441 13.8125 -11.929
1.68 -2.26385 -3.32145 13.4428 -11.7835
1.69 -2.29648 -3.20516 13.0714 -11.6469
1.7 -2.32796 -3.09213 12.6999 -11.5188
1.71 -2.35833 -2.98235 12.3296 -11.3987
1.72 -2.38762 -2.87582 11.9617 -11.2864
1.73 -2.41586 -2.77249 11.5973 -11.1813
1.74 -2.44308 -2.67234 11.2372 -11.0832
1.75 -2.46932 -2.57533 10.8823 -10.9916
1.76 -2.4946 -2.48141 10.5332 -10.9061
1.77 -2.51895 -2.39052 10.1905 -10.8264
1.78 -2.54242 -2.3026 9.85471 -10.7521
1.79 -2.56502 -2.21761 9.52612 -10.6829
1.8 -2.58678 -2.13546 9.20508 -10.6186
1.81 -2.60773 -2.05609 8.89184 -10.5587
1.82 -2.62791 -1.97944 8.58656 -10.503
1.83 -2.64733 -1.90543 8.28937 -10.4513
1.84 -2.66603 -1.83399 8.00036 -10.4032
1.85 -2.68402 -1.76504 7.71956 -10.3585
1.86 -2.70134 -1.69853 7.44696 -10.317
1.87 -2.718 -1.63437 7.18254 -10.2786
1.88 -2.73403 -1.5725 6.92624 -10.2428
1.89 -2.74946 -1.51284 6.67797 -10.2097
1.9 -2.76429 -1.45532 6.43763 -10.179
1.91 -2.77857 -1.39987 6.20509 -10.1505
1.92 -2.7923 -1.34643 5.98024 -10.1241
1.93 -2.8055 -1.29493 5.7629 -10.0996
1.94 -2.8182 -1.24531 5.55295 -10.0769
1.95 -2.83042 -1.19749 5.3502 -10.0559
1.96 -2.84216 -1.15142 5.15449 -10.0364
1.97 -2.85345 -1.10704 4.96564 -10.0183
1.98 -2.86431 -1.06429 4.78349 -10.0016
1.99 -2.87474 -1.0231 4.60784 -9.98615
2 -2.88477 -0.983431 4.43853 -9.97182
2.01 -2.89441 -0.945216 4.27536 -9.95856
2.02 -2.90368 -0.908407 4.11817 -9.94628
2.03 -2.91259 -0.872951 3.96678 -9.93491
2.04 -2.92114 -0.838798 3.821 -9.92438
2.05 -2.92937 -0.8059 3.68067 -9.91465
2.06 -2.93727 -0.774209 3.54561 -9.90563
2.07 -2.94486 -0.743681 3.41567 -9.89729
2.08 -2.95214 -0.714271 3.29067 -9.88957
2.09 -2.95914 -0.685936 3.17046 -9.88243
2.1 -2.96587 -0.658635 3.05488 -9.87582
2.11 -2.97232 -0.632329 2.94377 -9.86971
2.12 -2.97852 -0.606977 2.837 -9.86406
2.13 -2.98446 -0.582544 2.73441 -9.85882
2.14 -2.99017 -0.558993 2.63587 -9.85399
2.15 -2.99565 -0.53629 2.54125 -9.84951
2.16 -3.0009 -0.514399 2.4504 -9.84537
2.17 -3.00594 -0.493289 2.36321 -9.84154
2.18 -3.01077 -0.472929 2.27955 -9.838
2.19 -3.0154 -0.453287 2.1993 -9.83472
2.2 -3.01983 -0.434335 2.12236 -9.8317
2.21 -3.02409 -0.416044 2.0486 -9.8289
2.22 -3.02816 -0.398386 1.97792 -9.82631
2.23 -3.03206 -0.381335 1.91023 -9.82391
2.24 -3.03579 -0.364865 1.84542 -9.8217
2.25 -3.03935 -0.348951 1.7834 -9.81966
2.26 -3.04277 -0.333569 1.72408 -9.81777
2.27 -3.04603 -0.318696 1.66736 -9.81602
2.28 -3.04914 -0.304309 1.61318 -9.81441
2.29 -3.05212 -0.290387 1.56144 -9.81292
2.3 -3.05495 -0.276909 1.51208 -9.81154
2.31 -3.05766 -0.263853 1.46501 -9.81027
2.32 -3.06023 -0.2512 1.42017 -9.8091
2.33 -3.06268 -0.238932 1.37749 -9.80802
2.34 -3.06501 -0.227028 1.3369 -9.80702
2.35 -3.06722 -0.215471 1.29836 -9.8061
2.36 -3.06932 -0.204244 1.26179 -9.80525
2.37 -3.07131 -0.193329 1.22715 -9.80447
2.38 -3.07319 -0.18271 1.19437 -9.80375
2.39 -3.07496 -0.17237 1.16343 -9.80309
2.4 -3.07664 -0.162293 1.13425 -9.80248
