#t   #theta   #omega   #xddot    #yddot
1.18 0.881811 -7.07869 -11.3584 -9.79774
1.19 0.810444 -7.19344 -10.6624 -9.79774
1.2 0.737967 -7.30059 -9.90004 -9.79774
1.21 0.66446 -7.39946 -9.07377 -9.79774
1.22 0.590008 -7.48941 -8.18695 -9.79774
1.23 0.514703 -7.56983 -7.24385 -9.79774
1.24 0.438645 -7.64015 -6.24965 -9.79774
1.25 0.361936 -7.69987 -5.21036 -9.79774
1.26 0.284684 -7.74857 -4.13277 -9.79774
1.27 0.207002 -7.78587 -3.02433 -9.79774
1.28 0.129006 -7.81149 -1.89306 -9.79774
1.29 0.0508119 -7.82526 -0.747376 -9.79774
1.3 -0.0274596 -7.82704 0.404017 -9.79774
1.31 -0.105689 -7.81685 1.55232 -9.79774
1.32 -0.183757 -7.79475 2.68879 -9.79774
1.33 -0.261545 -7.7609 3.8049 -9.79774
1.34 -0.338937 -7.71558 4.89251 -9.79774
1.35 -0.415819 -7.6591 5.94397 -9.79774
1.36 -0.492083 -7.59189 6.95229 -9.79774
1.37 -0.567623 -7.51443 7.91121 -9.79774
1.38 -0.642339 -7.42727 8.81532 -9.79774
1.39 -0.716138 -7.33099 9.66005 -9.79774
1.4 -0.788931 -7.22623 10.4418 -9.79774
1.41 -0.860636 -7.11368 11.1578 -9.79774
1.42 -0.931181 -6.99402 11.8062 -9.79774
1.43 -1.0005 -6.86795 12.3862 -9.79774
1.44 -1.06852 -6.73621 12.8975 -9.79774
1.45 -1.1352 -6.59949 13.3409 -9.79774
1.46 -1.2005 -6.4585 13.7176 -9.79774
1.47 -1.26436 -6.31393 14.0295 -9.79774
1.48 -1.32677 -6.16644 14.279 -9.79774
1.49 -1.38768 -6.01666 14.469 -9.79774
1.5 -1.44709 -5.8652 14.6026 -9.79774
1.51 -1.50498 -5.71262 14.6831 -9.79774
1.52 -1.56134 -5.55947 14.7143 -9.79774
1.53 -1.61617 -5.40623 14.6999 -9.79774
1.54 -1.66947 -5.25337 14.6434 -9.79774
1.55 -1.72124 -5.1013 14.5488 -9.79774
1.56 -1.7715 -4.95039 14.4196 -9.79774
1.57 -1.82025 -4.80099 14.2595 -9.79774
1.58 -1.86753 -4.65341 14.0719 -9.79774
1.59 -1.91333 -4.50791 13.8602 -9.79774
1.6 -1.95769 -4.36473 13.6273 -9.79774
1.61 -2.00063 -4.22407 13.3764 -9.79774
1.62 -2.04218 -4.08611 13.1102 -9.79774
1.63 -2.08236 -3.95099 12.8312 -9.79774
1.64 -2.12121 -3.81883 12.5417 -9.79774
1.65 -2.15875 -3.68973 12.244 -9.79774
1.66 -2.19502 -3.56377 11.94 -9.79774
1.67 -2.23004 -3.441 11.6316 -9.79774
1.68 -2.26385 -3.32145 11.3203 -9.79774
1.69 -2.29648 -3.20516 11.0075 -9.79774
1.7 -2.32796 -3.09213 10.6947 -9.79774
1.71 -2.35833 -2.98235 10.3828 -9.79774
1.72 -2.38762 -2.87582 10.073 -9.79774
1.73 -2.41586 -2.77249 9.76613 -9.79774
