0 -3.11032 0 0.546383 -9.8052 9.8052
0.001 -3.11032 0.000605616 0.609554 -9.8052 9.8052
0.002 -3.11032 0.00121124 0.60957 -9.8052 9.8052
0.003 -3.11032 0.00181689 0.609596 -9.8052 9.8052
0.004 -3.11031 0.00242256 0.609633 -9.8052 9.8052
0.005 -3.11031 0.00302827 0.609681 -9.80521 9.8052
0.006 -3.11031 0.00363402 0.609738 -9.80521 9.8052
0.007 -3.1103 0.00423983 0.609807 -9.80521 9.8052
0.008 -3.1103 0.0048457 0.609886 -9.80521 9.8052
0.009 -3.11029 0.00545165 0.609975 -9.80521 9.80521
0.01 -3.11029 0.00605768 0.610075 -9.80521 9.80521
0.011 -3.11028 0.0066638 0.610186 -9.80521 9.80521
0.012 -3.11028 0.00727002 0.610307 -9.80522 9.80521
0.013 -3.11027 0.00787635 0.610438 -9.80522 9.80521
0.014 -3.11026 0.0084828 0.61058 -9.80522 9.80521
0.015 -3.11025 0.00908938 0.610733 -9.80522 9.80521
0.016 -3.11024 0.0096961 0.610896 -9.80523 9.80521
0.017 -3.11023 0.010303 0.61107 -9.80523 9.80521
0.018 -3.11022 0.01091 0.611254 -9.80523 9.80521
0.019 -3.11021 0.0115172 0.611449 -9.80524 9.80521
0.02 -3.1102 0.0121245 0.611654 -9.80524 9.80521
0.021 -3.11019 0.0127321 0.61187 -9.80524 9.80521
0.022 -3.11017 0.0133398 0.612097 -9.80525 9.80522
0.023 -3.11016 0.0139477 0.612334 -9.80525 9.80522
0.024 -3.11014 0.0145559 0.612581 -9.80526 9.80522
0.025 -3.11013 0.0151643 0.612839 -9.80526 9.80522
0.026 -3.11011 0.0157728 0.613108 -9.80526 9.80522
0.027 -3.1101 0.0163817 0.613387 -9.80527 9.80522
0.028 -3.11008 0.0169908 0.613677 -9.80527 9.80522
0.029 -3.11006 0.0176001 0.613978 -9.80528 9.80523
0.03 -3.11005 0.0182097 0.614289 -9.80528 9.80523
0.031 -3.11003 0.0188196 0.614611 -9.80529 9.80523
0.032 -3.11001 0.0194298 0.614943 -9.8053 9.80523
0.033 -3.10999 0.0200402 0.615286 -9.8053 9.80523
0.034 -3.10997 0.020651 0.615639 -9.80531 9.80523
0.035 -3.10995 0.0212621 0.616003 -9.80531 9.80523
0.036 -3.10993 0.0218735 0.616378 -9.80532 9.80524
0.037 -3.1099 0.0224852 0.616763 -9.80533 9.80524
0.038 -3.10988 0.0230973 0.617159 -9.80533 9.80524
0.039 -3.10986 0.0237097 0.617566 -9.80534 9.80524
0.04 -3.10983 0.0243225 0.617983 -9.80535 9.80524
0.041 -3.10981 0.0249356 0.618411 -9.80536 9.80525
0.042 -3.10978 0.0255492 0.618849 -9.80536 9.80525
0.043 -3.10976 0.0261631 0.619298 -9.80537 9.80525
0.044 -3.10973 0.0267774 0.619758 -9.80538 9.80525
0.045 -3.1097 0.0273921 0.620229 -9.80539 9.80526
0.046 -3.10968 0.0280072 0.62071 -9.8054 9.80526
0.047 -3.10965 0.0286228 0.621202 -9.8054 9.80526
0.048 -3.10962 0.0292388 0.621704 -9.80541 9.80526
0.049 -3.10959 0.0298552 0.622218 -9.80542 9.80527
0.05 -3.10956 0.0304721 0.622742 -9.80543 9.80527
0.051 -3.10953 0.0310894 0.623277 -9.80544 9.80527
0.052 -3.1095 0.0317072 0.623822 -9.80545 9.80527
0.053 -3.10947 0.0323255 0.624378 -9.80546 9.80528
0.054 -3.10943 0.0329443 0.624945 -9.80547 9.80528
0.055 -3.1094 0.0335636 0.625523 -9.80548 9.80528
0.056 -3.10937 0.0341833 0.626111 -9.80549 9.80528
0.057 -3.10933 0.0348037 0.62671 -9.8055 9.80529
0.058 -3.1093 0.0354245 0.62732 -9.80551 9.80529
0.059 -3.10926 0.0360458 0.627941 -9.80552 9.80529
0.06 -3.10922 0.0366678 0.628573 -9.80553 9.8053
0.061 -3.10919 0.0372902 0.629215 -9.80554 9.8053
0.062 -3.10915 0.0379133 0.629868 -9.80556 9.8053
0.063 -3.10911 0.0385369 0.630533 -9.80557 9.80531
0.064 -3.10907 0.0391611 0.631207 -9.80558 9.80531
0.065 -3.10903 0.0397858 0.631893 -9.80559 9.80531
0.066 -3.10899 0.0404112 0.63259 -9.8056 9.80532
0.067 -3.10895 0.0410372 0.633297 -9.80562 9.80532
0.068 -3.10891 0.0416638 0.634016 -9.80563 9.80532
0.069 -3.10887 0.0422911 0.634745 -9.80564 9.80533
0.07 -3.10883 0.042919 0.635485 -9.80566 9.80533
0.071 -3.10878 0.0435475 0.636236 -9.80567 9.80533
0.072 -3.10874 0.0441767 0.636998 -9.80568 9.80534
0.073 -3.10869 0.0448066 0.637771 -9.8057 9.80534
0.074 -3.10865 0.0454371 0.638555 -9.80571 9.80535
0.075 -3.1086 0.0460683 0.639349 -9.80572 9.80535
0.076 -3.10856 0.0467003 0.640155 -9.80574 9.80535
0.077 -3.10851 0.0473329 0.640972 -9.80575 9.80536
0.078 -3.10846 0.0479662 0.6418 -9.80577 9.80536
0.079 -3.10841 0.0486003 0.642638 -9.80578 9.80537
0.08 -3.10837 0.0492351 0.643488 -9.8058 9.80537
0.081 -3.10832 0.0498707 0.644349 -9.80581 9.80537
0.082 -3.10827 0.050507 0.645221 -9.80583 9.80538
0.083 -3.10822 0.0511441 0.646104 -9.80584 9.80538
0.084 -3.10816 0.0517819 0.646998 -9.80586 9.80539
0.085 -3.10811 0.0524206 0.647903 -9.80588 9.80539
0.086 -3.10806 0.05306 0.648819 -9.80589 9.8054
