#t   #theta   #omega   #xddot    #yddot
1.03 1.7862 -4.90564 -13.3268 -8.11317
1.04 1.7364 -5.05613 -13.4554 -8.00823
1.05 1.68508 -5.20789 -13.553 -7.89919
1.06 1.63224 -5.36056 -13.6163 -7.78625
1.07 1.57786 -5.51374 -13.6417 -7.66965
1.08 1.52196 -5.66696 -13.6258 -7.54973
1.09 1.46453 -5.81976 -13.5651 -7.42686
1.1 1.40557 -5.97162 -13.4562 -7.30153
1.11 1.3451 -6.12196 -13.296 -7.17425
1.12 1.28314 -6.2702 -13.0815 -7.04566
1.13 1.2197 -6.41571 -12.8098 -6.91644
1.14 1.15483 -6.55784 -12.4787 -6.78737
1.15 1.08856 -6.6959 -12.0863 -6.65928
1.16 1.02093 -6.82921 -11.6311 -6.53308
1.17 0.951995 -6.95704 -11.1124 -6.40971
1.18 0.881811 -7.07869 -10.5302 -6.29019
1.19 0.810444 -7.19344 -9.88492 -6.17555
1.2 0.737967 -7.30059 -9.17816 -6.06684
1.21 0.66446 -7.39946 -8.41214 -5.96509
1.22 0.590008 -7.48941 -7.58998 -5.87135
1.23 0.514703 -7.56983 -6.71565 -5.78658
1.24 0.438645 -7.64015 -5.79395 -5.71171
1.25 0.361936 -7.69987 -4.83044 -5.64758
1.26 0.284684 -7.74857 -3.83142 -5.59492
1.27 0.207002 -7.78587 -2.80381 -5.55436
1.28 0.129006 -7.81149 -1.75502 -5.52638
1.29 0.0508119 -7.82526 -0.692879 -5.51132
1.3 -0.0274596 -7.82704 0.374557 -5.50936
1.31 -0.105689 -7.81685 1.43913 -5.52052
1.32 -0.183757 -7.79475 2.49273 -5.54468
1.33 -0.261545 -7.7609 3.52746 -5.58153
1.34 -0.338937 -7.71558 4.53576 -5.63063
1.35 -0.415819 -7.6591 5.51055 -5.69141
1.36 -0.492083 -7.59189 6.44535 -5.76316
1.37 -0.567623 -7.51443 7.33435 -5.84507
1.38 -0.642339 -7.42727 8.17253 -5.93624
1.39 -0.716138 -7.33099 8.95567 -6.0357
1.4 -0.788931 -7.22623 9.68039 -6.14245
1.41 -0.860636 -7.11368 10.3442 -6.25543
1.42 -0.931181 -6.99402 10.9453 -6.3736
1.43 -1.0005 -6.86795 11.483 -6.49592
1.44 -1.06852 -6.73621 11.9571 -6.62138
1.45 -1.1352 -6.59949 12.3681 -6.74901
1.46 -1.2005 -6.4585 12.7174 -6.87788
1.47 -1.26436 -6.31393 13.0065 -7.00714
1.48 -1.32677 -6.16644 13.2378 -7.13599
