0 -3.13159 0 0.174738 -9.80951 9.80951 0.00534218
0.001 -3.13159 0.000158382 0.177291 -9.80951 9.80951 0.00534218
0.002 -3.13159 0.000316767 0.177295 -9.80951 9.80951 0.00534218
0.003 -3.13159 0.000475156 0.177302 -9.80951 9.80951 0.00534218
0.004 -3.13159 0.000633553 0.177311 -9.80951 9.80951 0.00534218
0.005 -3.13159 0.000791959 0.177324 -9.80951 9.80951 0.00534218
0.006 -3.13159 0.000950378 0.177339 -9.80951 9.80951 0.00534218
0.007 -3.13159 0.00110881 0.177357 -9.80951 9.80951 0.00534218
0.008 -3.13159 0.00126726 0.177378 -9.80951 9.80951 0.00534218
0.009 -3.13159 0.00142573 0.177401 -9.80951 9.80951 0.00534218
0.01 -3.13158 0.00158422 0.177428 -9.80951 9.80951 0.00534218
0.011 -3.13158 0.00174274 0.177457 -9.80951 9.80951 0.00534218
0.012 -3.13158 0.00190128 0.177488 -9.80951 9.80951 0.00534218
0.013 -3.13158 0.00205985 0.177523 -9.80951 9.80951 0.00534218
0.014 -3.13158 0.00221845 0.17756 -9.80951 9.80951 0.00534218
0.015 -3.13157 0.00237709 0.1776 -9.80951 9.80951 0.00534218
0.016 -3.13157 0.00253576 0.177643 -9.80951 9.80951 0.00534218
0.017 -3.13157 0.00269447 0.177689 -9.80951 9.80951 0.00534218
0.018 -3.13157 0.00285323 0.177737 -9.80951 9.80951 0.00534218
0.019 -3.13156 0.00301202 0.177789 -9.80951 9.80951 0.00534218
0.02 -3.13156 0.00317087 0.177843 -9.80951 9.80951 0.00534218
0.021 -3.13156 0.00332976 0.177899 -9.80951 9.80951 0.00534218
0.022 -3.13155 0.0034887 0.177959 -9.80951 9.80951 0.00534218
0.023 -3.13155 0.0036477 0.178021 -9.80951 9.80951 0.00534218
0.024 -3.13155 0.00380675 0.178086 -9.80951 9.80951 0.00534218
0.025 -3.13154 0.00396586 0.178154 -9.80951 9.80951 0.00534218
0.026 -3.13154 0.00412503 0.178225 -9.80951 9.80951 0.00534218
0.027 -3.13153 0.00428426 0.178298 -9.80951 9.80951 0.00534218
0.028 -3.13153 0.00444356 0.178374 -9.80951 9.80951 0.00534218
0.029 -3.13153 0.00460293 0.178453 -9.80951 9.80951 0.00534218
0.03 -3.13152 0.00476237 0.178535 -9.80951 9.80951 0.00534218
0.031 -3.13152 0.00492188 0.17862 -9.80951 9.80951 0.00534218
0.032 -3.13151 0.00508146 0.178707 -9.80951 9.80951 0.00534218
0.033 -3.13151 0.00524113 0.178797 -9.80951 9.80951 0.00534218
0.034 -3.1315 0.00540087 0.17889 -9.80952 9.80951 0.00534218
0.035 -3.1315 0.0055607 0.178986 -9.80952 9.80951 0.00534218
0.036 -3.13149 0.00572061 0.179084 -9.80952 9.80951 0.00534218
0.037 -3.13148 0.00588061 0.179186 -9.80952 9.80951 0.00534218
0.038 -3.13148 0.0060407 0.17929 -9.80952 9.80951 0.00534218
0.039 -3.13147 0.00620088 0.179397 -9.80952 9.80951 0.00534218
0.04 -3.13147 0.00636116 0.179506 -9.80952 9.80951 0.00534218
0.041 -3.13146 0.00652153 0.179619 -9.80952 9.80951 0.00534218
0.042 -3.13145 0.006682 0.179734 -9.80952 9.80951 0.00534218
0.043 -3.13145 0.00684258 0.179852 -9.80952 9.80951 0.00534218
0.044 -3.13144 0.00700326 0.179973 -9.80952 9.80951 0.00534218
0.045 -3.13143 0.00716405 0.180097 -9.80952 9.80951 0.00534218
0.046 -3.13142 0.00732494 0.180223 -9.80952 9.80951 0.00534218
0.047 -3.13142 0.00748595 0.180352 -9.80952 9.80951 0.00534218
0.048 -3.13141 0.00764708 0.180485 -9.80952 9.80951 0.00534218
